,Plan 120 GB,Plan 300 GB,Plan Libre,Plan Libre Roaming,Plan Libre Roaming Pro
Cargo fijo mensual Plan solo voz,$8.900,$14.900,$14.900,$14.900,$14.900
Descuento,-$3.511,-$7.165,-$5.838,-$4.926,-$4.027
Cargo fijo mensual Plan solo datos,$10.900,$15.900,$22.900,$29.900,$39.900
Descuento,-$4.299,-$7.645,-$8.972,-$9.884,-$10.783
Total cargos fijos,$19.800,$30.800,$37.800,$45.800,$54.800
Total descuentos,-$7.810,-$14.810,-$14.810,-$14.810,-$14.810
Cargo fijo del Plan,$11.990,$15.990,$22.990,$29.990,$39.990
